release	nodes	arcs	loops	successoravggap	avglocality	minoutdegree	maxoutdegree	minoutdegreenode	maxoutdegreenode	dangling	terminal	percdangling	avgoutdegree	successorlogdeltastats	successoravglogdelta	minindegree	maxindegree	minindegreenode	maxindegreenode	avgindegree	sccs	maxsccsize	percmaxscc	minsccsize	percminscc
cc-main-2017-feb-mar-apr	387806511	2504610000	0	8710382.197	71434066.048	0	6365878	0	318690369	322944466	322944466	83.27463743897792	6.4584011071438665	5737784,5138811,5404787,7229987,9954572,13312674,18049606,25337890,35899968,50113491,58578454,73222891,58439362,39926561,40067717,43751941,53023276,60594187,64947465,68065939,75371935,80017482,90330391,96925194,164416833,328701671,369320959,460658871,102069301	11.034	0	18503641	387806481	146129416	6.4584011071438665	341726590	45497015	11.731885285443287	1	2.5786054943260094E-7
cc-main-2017-may-jun-jul	1306661614	5268397861	0	15795019.905	185037729.794	0	15090917	0	515438842	1224433322	1224433322	93.70699413536151	4.031952729423335	6918451,6185715,6818375,9146716,12718942,17355615,22895803,30065840,37845988,47428769,60121386,77794886,79743184,74754654,99850319,134590864,181075086,232347767,255748648,248328068,166995925,152936971,174454542,159233579,156168780,277111287,426508645,697138102,785588969,602973016,27552969	11.604	0	23055296	1306661547	574091426	4.031952729423335	1246649818	59368339	4.543512900655242	1	7.653090817742504E-8
cc-main-2017-aug-sep-oct	5111322247	18809472926	0	29519071.898	313469953.846	0	65903624	0	3231869557	5007415468	5007415468	97.96712525685528	3.6799622518497803	8145679,8525366,11543420,18134904,29635582,47039306,65393344,97963550,122213880,92582366,115130585,170560168,235515945,336817147,486922310,550131645,755418171,1134870952,1541182982,1647715595,1437676748,1252131545,1685446656,1817532355,380308626,263784642,350645582,570615493,728679340,728581774,1007398793,1051796042,59432433	10.912	0	25199215	5111322127	2136224007	3.6799622518497803
cc-main-2017-18-nov-dec-jan	2757362559	8631281824	0	28392337.583	362099437.291	0	458002862	0	2644986515	2665160616	2665160616	96.656154530747	3.1302672895980233	7804351,7360575,9329289,13329387,19850383,28939973,38087038,52439327,70746936,91260581,108714835,126705744,123661366,115663474,137414999,183954040,250245690,324257736,378862793,420515228,386419314,365192877,427559285,344997564,205068749,274507395,476313578,691684544,828446751,849718213,1156652878,115576931	11.789	0	24959586	2757362485	1749875565	3.1302672895980233	2691358522	64660818	2.345024153205672	1	3.626654016665351E-8
cc-main-2018-jan	774883670	2715509033	0	14589542.957	121250338.401	0	180621981	0	714613268	718649119	718649119	92.74283958003657	3.504408646268155	5141168,4556151,5612464,7704977,11036113,15680830,21127603,28004793,36272868,43831645,46503355,48727770,48837421,50316799,59816731,75712409,91655508,110897147,122595122,96864634,105802744,109313352,81805167,70961958,105679747,151396701,266199829,364938007,466820652,61695368	11.080	0	16919054	774883637	490192630	3.504408646268155	737181553	36641624	4.728661271181518	1	1.2905162913034417E-7
cc-main-2018-feb-mar-apr	2140026222	10154132012	0	23603702.818	254566987.448	0	458002862	0	1798462216	2019035591	2019035591	94.34630147256205	4.744863360837828	8263293,7982097,10249624,14419163,21078649,30974745,43540809,56857109,75650222,95605291,104749741,123116018,142548366,186214429,256885471,345065318,443177788,429218822,372650145,367295845,407453835,420872529,462758064,483014712,660747632,919081201,632907651,491908690,572075826,1039457888,928311039	11.455	0	26710468	2140026055	1143441437	4.744863360837828	2061198764	77531553	3.622925373668622	1	4.672839938687443E-8
cc-main-2018-may-jun-jul	886429102	5397084512	0	14441417.567	120929887.706	0	9775588	0	321481293	793239284	793239284	89.4870534158072	6.088568730226549	7797189,7562487,9675202,13689885,20172624,29504320,42224623,57252881,69026784,86977412,108111707,133767683,132336053,155379851,204406391,239682848,272025781,265696242,206529482,188742915,177112508,152699674,124784504,141788508,148575777,237759853,442414807,666766947,856950658,197668916	10.722	0	25321401	886428915	353357617	6.088568730226549	817803284	67432452	7.607201957590964	1	1.1281218066326527E-7
cc-main-2018-aug-sep-oct	903328680	5262147994	0	12665648.231	103180618.891	0	26059407	0	574090082	819336283	819336283	90.70190077436709	5.825286089665613	7595115,7590662,9844107,13516011,20036838,29626451,43166483,60132576,67510090,81483096,98166735,124159996,133463905,160842088,217032034,270977402,327843882,334646993,255373094,226127595,162712914,139202938,113185588,98204253,181188870,231868186,394573386,629467359,644714825,177894522	10.437	0	25537480	903328592	303001555	5.825286089665613	841855392	60176489	6.661638264380136	1	1.1070167726768069E-7
cc-main-2018-19-nov-dec-jan	407339456	4226572657	0	7436068.305	65884984.015	0	3620431	0	276989185	322587029	322587029	79.19366126909149	10.3760453222582	7604398,7448005,9673082,13724866,20345214,29495030,40815586,55242425,71906815,87785152,105308998,123053268,114347535,135323032,170451755,153128670,135944822,126009661,96434068,91569763,111423139,121675200,117952928,123768243,223998407,443918462,606130781,723297041,158796311	10.555	0	27471573	407339355	160523594	10.3760453222582	343657469	62618983	15.372678015262043	1	2.454954916029544E-7
cc-main-2019-feb-mar-apr	492237574	3036667554	0	8017813.238	78258158.963	0	3096222	0	370797931	426805790	426805790	86.70727562134458	6.169109621851013	6883124,6153780,7373618,9633926,12255376,14713861,16468342,18125656,19633734,20667837,22574944,24640443,25788822,24231355,22840510,27259279,34116583,43523459,57625827,77668709,104054783,125240746,128988489,162617981,281321684,488686737,616714432,462507848,174355669	11.828	0	21798712	492237474	190484389	6.169109621851013	439825367	51916704	10.54708269791692	1	2.0315393477053014E-7
cc-main-2019-may-jun-jul	445396777	3140069461	0	8366637.516	85654632.523	0	5905747	0	323573801	381754344	381754344	85.71107015442098	7.050049805367137	6828764,6248221,7269015,9432234,12657917,15598013,17919816,20955307,25128213,31108949,37562027,39133926,40030172,40921008,31145211,35248535,45252945,53676620,51089750,68996684,78320742,91642900,125533498,164374305,277958842,425373581,572850370,601312457,206499439	11.729	0	21178041	445396683	196005053	7.050049805367137	396866726	47870945	10.747932511420037	1	2.2451891249316336E-7
cc-main-2019-aug-sep-oct	820304244	4554269575	0	10643998.065	154082503.619	0	5433577	0	770715813	752099917	752099917	91.68548407510129	5.551927359039727	7625470,7242864,8831203,12020699,17214231,23023870,27801957,34495228,45049115,60508219,80927760,102585160,113460176,95739508,72420453,43009378,40624230,50130292,60402649,80044351,78349473,84918980,98054049,139530037,243220959,399362666,733102389,901918914,563281036,329374259	11.837	0	21199733	820304163	495621721	5.551927359039727	769364470	49989278	6.09399236510594	1	1.2190598882236186E-7
cc-main-2019-20-nov-dec-jan	1236811949	4539340950	0	12851283.263	154409700.755	0	1604186	0	620298733	1173648009	1173648009	94.89300373827484	3.6701949343796323	7814238,8170652,10717350,14956449,22437409,31383185,45715160,43428348,49212278,66411274,91303492,125771998,159693296,154058221,118995583,115641880,163679063,198547435,70371925,55470728,66201756,78691465,90496946,126772370,188434980,269827930,429379258,663326624,777137166,275134000,20158491	11.131	0	20954040	1236811911	329338271	3.6701949343796323	1191209460	44695092	3.613733844998614	1	8.085303516096609E-8
cc-main-2020-feb-mar-may	927132915	3884600740	0	16440386.048	158306762.410	0	1547753	0	843364809	857361419	857361419	92.47448829923161	4.18990705340237	8302618,8364544,10727558,15032617,21169288,27681279,34320582,40096969,45736751,56516128,72719612,100356976,126988770,115808032,82828588,70291833,84972358,81161889,77866756,70784509,81364442,92302511,80464529,106388583,167680931,298638562,428561498,582139873,618461992,276870162	11.324	0	22434038	927132870	550827421	4.18990705340237	878497805	47481436	5.121319201573164	1	1.0785940007318152E-7
cc-main-2020-jul-aug-sep	538570861	3021307494	0	10541600.463	91085732.019	0	57364265	0	12396600	466848789	466848789	86.68289036899826	5.609860675325322	9000873,9439341,13012913,19124445,27036452,32504870,31446085,27962931,27526415,33429605,39929361,43584911,42738795,34925592,28346853,25077381,29337226,37452592,49137797,62394447,81014196,96729103,90537656,142425147,233844694,470627669,473621378,588532484,220506575,59707	11.505	0	22816100	538570794	283253781	5.609860675325322	490647678	45669713	8.47979649608262	1	1.8567658824750267E-7
cc-main-2020-21-oct-nov-jan	490193249	2575254142	0	11146419.121	89789188.144	0	2033605	0	15539994	413872637	413872637	84.43050528425373	5.253548773373661	8445234,8628327,11711911,17636910,27612277,42268399,51732071,31778506,26589497,30131268,36057431,47806064,51111322,38478430,29449200,23337716,26429702,36570790,45206424,53995311,58238281,63455416,74167277,102190919,177265575,331904205,440931235,498682015,183442429	11.199	0	21922167	490193222	246638621	5.253548773373661	446400514	42595563	8.689545008401371	1	2.040011775029566E-7
